uid,region,severity,abundance
aabm,midwest,1,0.585
aaee,south,1,1.614
aaff,midwest,3,111.825
aafl,midwest,4,2017.313
aafp,south,1,1.594
aahy,south,1,6.1
aaia,south,1,16.943
aaie,south,2,22.822
aajk,midwest,1,13.119
aajw,northeast,1,2.451086957
aalr,midwest,3,233.1
aalw,west,4,4437.5
aamg,west,4,1720.2
aamp,west,2,67.2
aaoj,west,4,4080.0
aaoy,south,1,3.485
aapj,west,4,6099.0
aaqc,west,4,1416.3425
aaqd,south,3,338.865
aaqf,northeast,1,0.08229927
aaqq,west,3,250.5155
aarj,south,2,72.614
aarq,northeast,1,10.133
aauw,south,1,3.798
aauy,south,1,2.178
aava,northeast,1,1.267
aavi,south,1,0.871
aaxe,west,4,6450.0
aays,midwest,2,68.04
abau,south,2,23.236
abbf,west,4,3885.0
abbz,south,1,0.581
abcg,west,3,240.746
abcx,west,3,778.0685
abdk,west,2,83.591
abdw,south,1,4.067
abei,south,1,9.694
aben,south,1,9.73
abeu,west,4,5957.5
abhd,west,4,5677.5
abjr,west,4,3030.0
abka,midwest,2,53.636
abkx,west,4,1065.25
abmo,south,2,73.195
aboc,midwest,1,0.358241253
abqi,south,1,2.628
abqw,west,4,1673.606
absk,south,3,279.893
absl,northeast,3,379.1468027
abso,south,2,48.409
absx,west,4,4777.5
abui,west,4,5260.0
abwl,midwest,1,0.155190677
abxl,west,4,2474.705
abzk,midwest,2,93.24
accd,south,1,3.558
acck,south,1,13.863
acdj,west,4,1572.6545
acgm,south,1,15.394
acgx,south,1,2.075
acix,west,4,6916.571
acje,west,4,9135.0
ackq,south,1,16.597
aclb,south,1,10.0
aclj,midwest,1,4.013
acmt,west,3,182.129
acpf,south,1,9.036
acqg,south,3,758.089
acqj,south,1,0.631
acqu,west,4,4927.5
acta,midwest,1,1.274865923
actk,northeast,1,1.267
actm,south,2,53.92499924
actx,west,4,5517.5
acuf,west,5,23228.43677
acwc,midwest,4,3414.943
acwm,west,4,6900.0
acwx,west,4,6592.5
acxn,west,4,5972.5
acyg,south,1,0.854
acyi,midwest,1,0.255
acyk,south,2,48.167
aczx,south,3,141.355
adef,south,1,13.555
adgs,west,4,7152.5
admd,midwest,1,9.911813333
admk,midwest,3,303.4
admo,south,1,1.54
adow,south,1,0.484
adsv,south,1,19.461
adtv,south,3,250.082
adtx,south,2,38.727
aduy,south,2,90.041
advr,midwest,1,0.434866119
adwf,south,1,1.867
adwl,south,1,0.821
adxk,midwest,2,36.556
adxl,west,4,3747.9965
adxo,northeast,1,5.300663072
aeap,south,1,7.261
aebg,south,2,73.662
aecj,west,4,2502.5
aeco,west,4,5862.5
aecy,south,1,3.42
aedy,west,4,2585.039995
aeea,south,1,4.034
aefb,south,3,160.332
aeib,south,2,33.112
aejc,northeast,1,10.45189394
aekm,south,1,2.905
aelv,south,2,41.955
aepe,south,3,460.856
aepl,south,2,20.206
aetj,south,1,4.784
aeuj,south,2,58.962
aeus,west,4,1722.4535
aexi,south,2,61.359
aexm,west,4,3635.0
aeyg,west,3,455.05
aezm,west,4,1234.5
afas,south,2,28.446
afbi,midwest,4,3355.27
afbl,south,1,1.682
afcm,northeast,4,5688.667
afef,northeast,1,1.589790419
afeh,south,1,19.087
afek,northeast,1,8.393428023
