uid,latitude,longitude,date,split
aabm,39.08031907,-86.43086667,2018-05-14,train
aabn,36.5597,-121.51,2016-08-31,test
aacd,35.87508324,-78.87843428,2020-11-19,test
aaee,35.487,-79.06213296,2016-08-24,train
aaff,38.04947082,-99.82700111,2019-07-23,train
aafl,39.474744,-86.898353,2021-08-23,train
aafp,35.64774247,-79.2717821,2017-11-15,train
aagm,35.90688526,-79.13296163,2020-06-10,test
aahy,35.72652194,-79.12545778,2014-08-12,train
aaia,35.98,-78.79168619,2018-06-27,train
aaie,35.86132514,-78.76832138,2013-11-06,train
aaig,35.89623283,-79.04770491,2015-08-24,test
aair,33.0426,-117.076,2014-11-01,test
aajk,37.74668,-97.77936,2021-10-18,train
aajw,40.703968,-80.29305,2015-08-26,train
aalr,38.9725,-94.67293,2019-08-26,train
aalw,34.279,-118.905,2018-01-08,train
aamg,37.9718,-121.374,2015-08-18,train
aamp,40.43393,-105.0334,2017-07-28,train
aaoj,38.0201,-122.259,2015-07-07,train
aaoy,35.79,-79.02639225,2018-06-13,train
aapj,33.8892,-117.562,2018-01-09,train
aaqc,37.3906,-120.958,2013-07-09,train
aaqd,35.90753745,-79.13818143,2020-08-13,train
aaqf,39.820323,-79.921575,2013-08-17,train
aaql,38.691,-100.924,2018-08-13,test
aaqq,36.6519,-120.632,2017-03-09,train
aarj,36.115,-78.90875883,2013-07-29,train
aarq,39.90293,-75.18015,2017-12-05,train
aauw,35.70355347,-79.16811922,2019-06-06,train
aauy,36.313,-79.11497779,2020-02-26,train
aava,40.82201,-77.46996,2018-04-11,train
aavi,34.41,-78.3,2020-05-18,train
aavk,41.292492,-80.45833,2016-07-20,test
aaxb,35.72292896,-79.13213135,2018-08-27,test
aaxc,34.446,-119.876,2020-03-18,test
aaxe,37.2486,-120.851,2019-01-17,train
aays,39.12106,-95.41118,2018-08-27,train
abau,35.68223511,-79.20771577,2016-06-21,train
abbf,37.6003,-121.224,2015-01-13,train
abbz,35.71542362,-79.14607171,2016-06-08,train
abcg,37.4583,-120.967,2016-03-08,train
